----------------------------------------------------------------
Thu Mar 06 23:17:14 MST 2014:
Booting Derby version The Apache Software Foundation - Apache Derby - 10.9.1.0 - (1344872): instance a816c00e-0144-9b30-4092-000002d4ebb8 
on database directory D:\ASUProject\AQM_Dylos\derby_home\AQMdb  with class loader sun.misc.Launcher$AppClassLoader@1ef6a746 
Loaded from file:/D:/ASUProject/AQM_Dylos/lib/derby.jar
java.vendor=Sun Microsystems Inc.
java.runtime.version=1.6.0_45-b06
user.dir=D:\ASUProject\AQM_Dylos
derby.system.home=null
Database Class Loader started - derby.database.classpath=''
Thu Mar 06 23:17:16 MST 2014 Thread[SwingWorker-pool-1-thread-1,5,main] (XID = 950), (SESSIONID = 5), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Committing
Thu Mar 06 23:17:16 MST 2014 Thread[SwingWorker-pool-1-thread-1,5,main] (XID = 950), (SESSIONID = 5), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Rolling back
Thu Mar 06 23:17:17 MST 2014 Thread[Timer-0,5,main] (XID = 952), (SESSIONID = 6), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Committing
Thu Mar 06 23:17:17 MST 2014 Thread[Timer-0,5,main] (XID = 952), (SESSIONID = 6), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Rolling back
Thu Mar 06 23:17:17 MST 2014 Thread[Timer-0,5,main] (XID = 953), (SESSIONID = 7), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Committing
Thu Mar 06 23:17:17 MST 2014 Thread[Timer-0,5,main] (XID = 954), (SESSIONID = 7), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Begin compiling prepared statement: select * from particlereading where patientid like ? and readingtime between ? and ? order by readingtime asc :End prepared statement
Thu Mar 06 23:17:17 MST 2014 Thread[Timer-0,5,main] (XID = 954), (SESSIONID = 7), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), End compiling prepared statement: select * from particlereading where patientid like ? and readingtime between ? and ? order by readingtime asc :End prepared statement
Thu Mar 06 23:17:17 MST 2014 Thread[Timer-0,5,main] (XID = 954), (SESSIONID = 7), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Executing prepared statement: select * from particlereading where patientid like ? and readingtime between ? and ? order by readingtime asc :End prepared statement with 3 parameters begin parameter #1: patient2 :end parameter begin parameter #2: 2014-03-07 06:14:02.702 :end parameter begin parameter #3: 2014-03-07 06:17:17.7 :end parameter 
Thu Mar 06 23:17:17 MST 2014 Thread[Timer-0,5,main] (XID = 954), (SESSIONID = 7), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Committing
Thu Mar 06 23:17:17 MST 2014 Thread[Timer-0,5,main] (XID = 954), (SESSIONID = 7), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Committing
Thu Mar 06 23:17:17 MST 2014 Thread[Timer-0,5,main] (XID = 954), (SESSIONID = 7), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Rolling back
Thu Mar 06 23:17:39 MST 2014 Thread[Timer-0,5,main] (XID = 956), (SESSIONID = 8), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Committing
Thu Mar 06 23:17:39 MST 2014 Thread[Timer-0,5,main] (XID = 956), (SESSIONID = 8), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Rolling back
Thu Mar 06 23:17:39 MST 2014 Thread[Timer-0,5,main] (XID = 957), (SESSIONID = 9), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Committing
Thu Mar 06 23:17:39 MST 2014 Thread[Timer-0,5,main] (XID = 958), (SESSIONID = 9), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Begin compiling prepared statement: insert into particlereading (deviceid,patientid,readingtime,smallparticle,largeparticle,geolatitude,geolongitude,geomethod,groupid) values (?,?,?,?,?,?,?,?,?) :End prepared statement
Thu Mar 06 23:17:39 MST 2014 Thread[Timer-0,5,main] (XID = 958), (SESSIONID = 9), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), End compiling prepared statement: insert into particlereading (deviceid,patientid,readingtime,smallparticle,largeparticle,geolatitude,geolongitude,geomethod,groupid) values (?,?,?,?,?,?,?,?,?) :End prepared statement
Thu Mar 06 23:17:39 MST 2014 Thread[Timer-0,5,main] (XID = 958), (SESSIONID = 9), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Begin compiling prepared statement: values next value for aspira_seq :End prepared statement
Thu Mar 06 23:17:39 MST 2014 Thread[Timer-0,5,main] (XID = 958), (SESSIONID = 9), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), End compiling prepared statement: values next value for aspira_seq :End prepared statement
Thu Mar 06 23:17:39 MST 2014 Thread[Timer-0,5,main] (XID = 958), (SESSIONID = 9), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Executing prepared statement: values next value for aspira_seq :End prepared statement
Thu Mar 06 23:17:39 MST 2014 Thread[Timer-0,5,main] (XID = 958), (SESSIONID = 9), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Committing
Thu Mar 06 23:17:39 MST 2014 Thread[Timer-0,5,main] (XID = 958), (SESSIONID = 9), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Executing prepared statement: insert into particlereading (deviceid,patientid,readingtime,smallparticle,largeparticle,geolatitude,geolongitude,geomethod,groupid) values (?,?,?,?,?,?,?,?,?) :End prepared statement with 9 parameters begin parameter #1: aqm2 :end parameter begin parameter #2: patient2 :end parameter begin parameter #3: 2014-03-07 06:17:29.199 :end parameter begin parameter #4: 76 :end parameter begin parameter #5: 14 :end parameter begin parameter #6: 33.3099177 :end parameter begin parameter #7: -111.6726974 :end parameter begin parameter #8: manual :end parameter begin parameter #9: -2147483548 :end parameter 
Thu Mar 06 23:17:39 MST 2014 Thread[Timer-0,5,main] (XID = 958), (SESSIONID = 9), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Committing
Thu Mar 06 23:17:39 MST 2014 Thread[Timer-0,5,main] (XID = 963), (SESSIONID = 9), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Executing prepared statement: insert into particlereading (deviceid,patientid,readingtime,smallparticle,largeparticle,geolatitude,geolongitude,geomethod,groupid) values (?,?,?,?,?,?,?,?,?) :End prepared statement with 9 parameters begin parameter #1: aqm2 :end parameter begin parameter #2: patient2 :end parameter begin parameter #3: 2014-03-07 06:17:39.206 :end parameter begin parameter #4: 76 :end parameter begin parameter #5: 14 :end parameter begin parameter #6: 33.3099177 :end parameter begin parameter #7: -111.6726974 :end parameter begin parameter #8: manual :end parameter begin parameter #9: -2147483548 :end parameter 
Thu Mar 06 23:17:39 MST 2014 Thread[Timer-0,5,main] (XID = 963), (SESSIONID = 9), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Committing
Thu Mar 06 23:17:39 MST 2014 Thread[Timer-0,5,main] (XID = 963), (SESSIONID = 9), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Committing
Thu Mar 06 23:17:39 MST 2014 Thread[Timer-0,5,main] (XID = 963), (SESSIONID = 9), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Committing
Thu Mar 06 23:17:39 MST 2014 Thread[Timer-0,5,main] (XID = 963), (SESSIONID = 9), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Rolling back
Thu Mar 06 23:17:39 MST 2014 Thread[Timer-0,5,main] (XID = 963), (SESSIONID = 9), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Rolling back
Thu Mar 06 23:17:40 MST 2014 Thread[Timer-0,5,main] (XID = 964), (SESSIONID = 10), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Committing
Thu Mar 06 23:17:40 MST 2014 Thread[Timer-0,5,main] (XID = 964), (SESSIONID = 10), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Rolling back
Thu Mar 06 23:17:40 MST 2014 Thread[Timer-0,5,main] (XID = 965), (SESSIONID = 11), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Committing
Thu Mar 06 23:17:40 MST 2014 Thread[Timer-0,5,main] (XID = 966), (SESSIONID = 11), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Executing prepared statement: select * from particlereading where patientid like ? and readingtime between ? and ? order by readingtime asc :End prepared statement with 3 parameters begin parameter #1: patient2 :end parameter begin parameter #2: 2014-03-07 06:14:02.702 :end parameter begin parameter #3: 2014-03-07 06:17:40.7 :end parameter 
Thu Mar 06 23:17:40 MST 2014 Thread[Timer-0,5,main] (XID = 966), (SESSIONID = 11), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Committing
Thu Mar 06 23:17:40 MST 2014 Thread[Timer-0,5,main] (XID = 966), (SESSIONID = 11), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Committing
Thu Mar 06 23:17:40 MST 2014 Thread[Timer-0,5,main] (XID = 966), (SESSIONID = 11), (DATABASE = D:/ASUProject/AQM_Dylos/derby_home/AQMdb), (DRDAID = null), Rolling back
